Parental Divore on Nagative Symptom					
	(1)	(2)	(3)	(4)	(5)
VARIABLES	Frequency	Frequency	Frequency	Frequency	Frequency
					
parent_div_sep	0.065	0.111*	0.071	0.044	0.015
	(0.046)	(0.051)	(0.063)	(0.054)	(0.022)
female	0.064*	0.155***	0.054	0.086*	0.014
	(0.028)	(0.033)	(0.039)	(0.034)	(0.013)
2.family_income	0.021	0.009	0.010	-0.046	0.037
	(0.055)	(0.065)	(0.068)	(0.065)	(0.023)
3.family_income	0.040	-0.006	0.032	-0.080	0.018
	(0.058)	(0.067)	(0.070)	(0.067)	(0.023)
4.family_income	0.007	0.007	-0.006	-0.019	0.053†
	(0.067)	(0.077)	(0.084)	(0.081)	(0.029)
5.family_income	-0.004	0.072	0.067	-0.017	0.086†
	(0.090)	(0.109)	(0.114)	(0.106)	(0.050)
6.family_income	-0.018	-0.132	-0.094	-0.069	0.010
	(0.101)	(0.100)	(0.135)	(0.127)	(0.031)
2.father_edu	-0.050	-0.008	0.034	-0.022	0.003
	(0.034)	(0.036)	(0.046)	(0.042)	(0.018)
3.father_edu	-0.007	0.097*	0.057	0.060	0.008
	(0.045)	(0.046)	(0.058)	(0.054)	(0.023)
4.father_edu	0.045	0.086	0.049	0.076	-0.004
	(0.061)	(0.057)	(0.074)	(0.072)	(0.024)
5.father_edu	-0.071	0.019	0.156	-0.106	-0.018
	(0.073)	(0.083)	(0.104)	(0.083)	(0.033)
6.father_edu	1.021*	0.627†	0.340	1.133***	-0.016
	(0.403)	(0.347)	(0.333)	(0.180)	(0.029)
2.mother_edu	0.054†	-0.044	-0.027	-0.022	-0.021
	(0.032)	(0.034)	(0.044)	(0.041)	(0.019)
3.mother_edu	0.090†	0.003	0.040	0.002	-0.021
	(0.051)	(0.053)	(0.067)	(0.062)	(0.026)
4.mother_edu	0.057	-0.045	0.084	-0.004	-0.021
	(0.061)	(0.070)	(0.087)	(0.077)	(0.030)
5.mother_edu	0.160	0.049	0.221	0.050	-0.045
	(0.100)	(0.148)	(0.161)	(0.129)	(0.040)
6.mother_edu	0.143	-0.126	-0.399†	-0.608***	-0.083*
	(0.372)	(0.218)	(0.213)	(0.090)	(0.040)
12.city	0.058	0.055	0.072	-0.019	-0.002
	(0.049)	(0.051)	(0.064)	(0.057)	(0.019)
21.city	0.042	0.127	0.139	0.034	-0.045**
	(0.120)	(0.168)	(0.152)	(0.171)	(0.015)
22.city	0.028	0.024	-0.051	0.034	0.115
	(0.084)	(0.095)	(0.125)	(0.112)	(0.072)
23.city	0.077	0.116†	0.207*	0.162*	0.021
	(0.058)	(0.061)	(0.082)	(0.076)	(0.025)
24.city	0.007	-0.014	0.075	0.064	-0.045**
	(0.075)	(0.093)	(0.126)	(0.124)	(0.015)
25.city	0.091	0.104	0.209*	0.078	0.032
	(0.061)	(0.066)	(0.086)	(0.076)	(0.031)
31.city	0.102*	0.120*	0.222***	0.014	0.023
	(0.046)	(0.052)	(0.060)	(0.054)	(0.022)
32.city	-0.065	0.001	0.025	0.004	-0.051**
	(0.092)	(0.162)	(0.143)	(0.163)	(0.016)
33.city	0.115†	-0.020	0.110	0.046	0.026
	(0.064)	(0.055)	(0.081)	(0.074)	(0.027)
34.city	-0.122	-0.115	-0.026	0.094	-0.022
	(0.084)	(0.110)	(0.128)	(0.157)	(0.041)
35.city	-0.015	0.001	0.109	0.050	0.042
	(0.080)	(0.108)	(0.114)	(0.117)	(0.046)
36.city	0.052	0.047	0.100†	0.040	-0.001
	(0.045)	(0.049)	(0.060)	(0.056)	(0.019)
37.city	-0.055	-0.070	-0.251*	-0.147†	-0.017
	(0.077)	(0.084)	(0.099)	(0.080)	(0.026)
38.city	0.036	0.014	0.143†	0.050	-0.008
	(0.055)	(0.060)	(0.077)	(0.069)	(0.023)
39.city	0.207*	0.213*	0.114	0.099	0.025
	(0.095)	(0.095)	(0.111)	(0.101)	(0.045)
40.city	0.011	0.021	-0.127	0.173	0.091
	(0.135)	(0.133)	(0.155)	(0.171)	(0.141)
41.city	-0.119	-0.130†	-0.150	-0.170†	-0.040**
	(0.085)	(0.078)	(0.143)	(0.092)	(0.015)
42.city	0.039	0.140	0.049	0.022	0.078
	(0.087)	(0.118)	(0.123)	(0.118)	(0.072)
43.city	0.139	-0.011	-0.002	0.018	-0.001
	(0.111)	(0.097)	(0.145)	(0.118)	(0.050)
44.city	0.075	0.134	-0.087	0.246	0.073
	(0.115)	(0.142)	(0.133)	(0.159)	(0.101)
45.city	-0.112	0.071	-0.050	-0.074	-0.018
	(0.079)	(0.089)	(0.103)	(0.117)	(0.032)
46.city	-0.057	0.194	0.249	0.256	-0.049**
	(0.140)	(0.168)	(0.228)	(0.227)	(0.017)
1.sex_charact	-0.017	-0.029	-0.010	-0.069†	-0.011
	(0.030)	(0.036)	(0.042)	(0.037)	(0.015)
99.sex_charact	-0.041	-0.078*	-0.101*	-0.070	-0.020
	(0.036)	(0.036)	(0.048)	(0.043)	(0.015)
w1nright	0.008†	0.009†	0.006	0.001	0.002
	(0.004)	(0.005)	(0.005)	(0.005)	(0.002)
w1cfree	-0.022***	-0.013†	-0.010	-0.016*	-0.001
	(0.006)	(0.007)	(0.009)	(0.007)	(0.003)
w1math	-0.006	-0.013†	-0.001	-0.003	-0.006*
	(0.006)	(0.007)	(0.008)	(0.008)	(0.003)
w1s203	0.060*	0.027	0.055†	0.028	0.012
	(0.024)	(0.025)	(0.029)	(0.029)	(0.012)
w1s204	-0.042*	-0.028	-0.065*	-0.037	-0.001
	(0.021)	(0.024)	(0.028)	(0.027)	(0.011)
w1s205	0.019	0.004	-0.017	-0.023	-0.000
	(0.018)	(0.018)	(0.023)	(0.020)	(0.009)
