Parental Divore on Romantic Relationship					
	(1)	(2)	(3)	(4)	(5)
	reg_married_2014	reg_couple_2014	reg_want_marriage	reg_meet_partner	reg_num_of_lovers
VARIABLES	married_2014	couple_2014	want_marriage	meet_partner	num_of_lovers
					
parent_div_sep	0.003	0.075*	0.022	0.139*	0.418***
	(0.013)	(0.037)	(0.077)	(0.068)	(0.119)
female	0.019*	0.073**	-0.018	-0.149***	-0.052
	(0.008)	(0.025)	(0.050)	(0.043)	(0.070)
2.family_income	0.003	-0.005	-0.120	-0.079	-0.088
	(0.018)	(0.047)	(0.103)	(0.083)	(0.148)
3.family_income	-0.005	0.011	-0.129	-0.054	0.001
	(0.018)	(0.049)	(0.105)	(0.086)	(0.149)
4.family_income	-0.018	0.035	-0.141	-0.147	0.141
	(0.019)	(0.057)	(0.119)	(0.100)	(0.178)
5.family_income	-0.012	0.052	-0.314*	-0.104	0.078
	(0.023)	(0.077)	(0.155)	(0.132)	(0.228)
6.family_income	-0.025	-0.044	-0.114	0.071	0.576†
	(0.018)	(0.082)	(0.168)	(0.166)	(0.325)
2.father_edu	0.019†	0.069*	0.161**	0.069	0.227**
	(0.011)	(0.029)	(0.060)	(0.050)	(0.081)
3.father_edu	0.008	0.083*	0.094	0.014	0.060
	(0.011)	(0.036)	(0.074)	(0.061)	(0.105)
4.father_edu	0.032†	0.067	0.133	0.039	0.055
	(0.017)	(0.047)	(0.094)	(0.080)	(0.137)
5.father_edu	0.015	0.125†	0.117	0.047	0.178
	(0.012)	(0.065)	(0.138)	(0.117)	(0.180)
6.father_edu	-0.009	-0.125	-0.034	0.091	1.472
	(0.019)	(0.145)	(0.418)	(0.401)	(1.649)
2.mother_edu	-0.002	-0.015	-0.118*	0.012	-0.128
	(0.011)	(0.028)	(0.058)	(0.048)	(0.079)
3.mother_edu	-0.015	-0.055	-0.172*	0.095	-0.057
	(0.013)	(0.041)	(0.082)	(0.067)	(0.127)
4.mother_edu	-0.013	-0.117*	-0.089	0.084	-0.185
	(0.016)	(0.052)	(0.107)	(0.092)	(0.154)
5.mother_edu	-0.011	-0.049	0.141	0.069	-0.460†
	(0.014)	(0.089)	(0.179)	(0.166)	(0.253)
6.mother_edu	-0.033†	-0.226†	-0.335	0.426	-0.550
	(0.018)	(0.126)	(0.347)	(0.433)	(0.725)
12.city	-0.013	0.027	-0.029	-0.066	-0.026
	(0.009)	(0.040)	(0.082)	(0.069)	(0.122)
21.city	-0.026**	0.169	0.445*	0.000	0.495
	(0.009)	(0.110)	(0.212)	(0.164)	(0.391)
22.city	-0.025*	-0.018	0.270†	0.052	-0.077
	(0.010)	(0.081)	(0.150)	(0.127)	(0.223)
23.city	0.020	-0.055	-0.002	-0.148†	-0.249†
	(0.019)	(0.048)	(0.094)	(0.084)	(0.130)
24.city	-0.012	0.215**	-0.144	0.023	0.369
	(0.024)	(0.075)	(0.163)	(0.137)	(0.252)
25.city	-0.020	0.013	-0.225*	0.042	-0.154
	(0.012)	(0.054)	(0.100)	(0.087)	(0.140)
31.city	-0.015	0.044	-0.038	0.031	-0.057
	(0.011)	(0.038)	(0.076)	(0.066)	(0.123)
32.city	-0.035***	0.020	-0.148	-0.100	-0.131
	(0.009)	(0.106)	(0.214)	(0.182)	(0.346)
33.city	-0.002	0.002	0.038	0.075	-0.134
	(0.018)	(0.053)	(0.100)	(0.092)	(0.140)
34.city	0.037	-0.036	-0.130	-0.067	-0.466*
	(0.055)	(0.098)	(0.206)	(0.172)	(0.215)
35.city	-0.006	-0.063	0.120	0.125	-0.001
	(0.027)	(0.081)	(0.173)	(0.145)	(0.221)
36.city	0.001	0.075†	0.095	-0.005	-0.026
	(0.013)	(0.038)	(0.078)	(0.066)	(0.110)
37.city	0.027	-0.035	0.144	0.121	-0.258
	(0.030)	(0.067)	(0.121)	(0.114)	(0.167)
38.city	-0.015	-0.038	0.000	-0.013	-0.153
	(0.013)	(0.046)	(0.102)	(0.080)	(0.140)
39.city	0.029	0.120†	0.341*	0.146	-0.074
	(0.032)	(0.068)	(0.143)	(0.120)	(0.150)
40.city	0.003	0.017	0.459*	0.014	-0.365†
	(0.047)	(0.108)	(0.227)	(0.203)	(0.220)
41.city	-0.024**	-0.114	-0.141	0.243	-0.131
	(0.009)	(0.082)	(0.167)	(0.166)	(0.375)
42.city	-0.005	-0.065	-0.013	-0.089	0.007
	(0.026)	(0.082)	(0.182)	(0.121)	(0.264)
43.city	-0.017	-0.019	-0.023	0.133	-0.437*
	(0.025)	(0.081)	(0.140)	(0.156)	(0.215)
44.city	0.037	0.126	0.147	-0.025	0.599*
	(0.055)	(0.098)	(0.220)	(0.164)	(0.290)
45.city	0.051	0.011	0.103	-0.211	-0.204
	(0.045)	(0.088)	(0.158)	(0.135)	(0.234)
46.city	0.089	-0.104	0.279	0.030	0.021
	(0.096)	(0.150)	(0.408)	(0.237)	(0.523)
1.sex_charact	-0.008	0.043	0.063	0.001	-0.049
	(0.009)	(0.027)	(0.054)	(0.046)	(0.076)
99.sex_charact	0.007	0.017	0.076	0.024	-0.072
	(0.011)	(0.031)	(0.061)	(0.052)	(0.088)
w1nright	-0.001	0.007†	0.002	0.012†	0.001
	(0.001)	(0.004)	(0.007)	(0.006)	(0.011)
w1cfree	0.001	-0.009†	-0.001	-0.004	0.012
	(0.002)	(0.005)	(0.011)	(0.009)	(0.016)
w1math	-0.002	-0.007	-0.005	-0.018†	-0.041*
	(0.002)	(0.005)	(0.011)	(0.009)	(0.017)
w1s203	0.009	0.001	0.002	-0.022	-0.045
	(0.006)	(0.018)	(0.038)	(0.030)	(0.051)
w1s204	0.007	0.025	0.020	0.041	0.003
	(0.007)	(0.018)	(0.038)	(0.031)	(0.049)
w1s205	-0.001	-0.010	0.038	0.031	-0.056
	(0.005)	(0.014)	(0.028)	(0.025)	(0.041)
w1s206	0.017*	-0.003	0.052	0.032	0.035
	(0.007)	(0.016)	(0.034)	(0.029)	(0.048)
w1p3062	0.014†	-0.019	0.005	-0.004	0.106
	(0.007)	(0.022)	(0.043)	(0.037)	(0.064)
w1p3063	0.009	0.045	0.064	0.012	0.427***
