stud_id,tepsb_sex,sample,svyunit,ym,contact,cp19v01,cp19v02,cp19v05,cp19v28,cp19v29,cp19v29_1,cp19v29_2,cp19v30,cp19v31_g,cp19v31_gd,cp19v32,cp19v32_1,cp19v32_2,cp19v33v34,cp19v33v34_u,cp19v33v34_ud,cp19v35,cp19v36,cp19v37_1,cp19v37_2,cp19v37_3,cp19v37_4,cp19v37_5,cp19v37_6,cp19v37_7,cp19v37_8,cp19v37_9,cp19v38,cp19v39,cp19v40,cp19v41,cp19v42,cp19v43_1_k1,cp19v43_1_k2,cp19v43_2_k1,cp19v43_2_k2,cp19v43_2_k3,cp19v43_2_k4,cp19v43_3_k1,cp19v43_3_k2,cp19v43_4_k1,cp19v43_4_k2,cp19v43_4_k3,cp19v43_4_k4,cp19v43_A1,cp19v43_A2,cp19v43_A3,cp19v43_A4,cp19v44,cp19v45_1,cp19v45_2,cp19v45_3,cp19v45_4,cp19v45_A,cp19v46,cp19v47,cp19v48,cp19v49_1,cp19v49_2,cp19v50_k1,cp19v50_k2,cp19v50_k3,cp19v51,cp19v52,cp19v53,cp19v54,cp19v55,cp19v56,cp19v57,cp19v57_1,cp19v58,cp19v59,cp19v60,cp19v61,cp19v62,cp19v63,cp19v63_k,cp19v64,cp19v65,cp19v66,cp19v66_k,cp19v67,cp19v68,cp19v69,cp19v70,cp19v71,cp19v72,cp19v73,cp19v74,cp19v75,cp19v76,cp19v76_k,cp19v77,cp19v78,cp19v78_k,cp19v79,cp19v79_1,cp19v79_2,cp19v80_1,cp19v80_2,cp19v80_3,cp19v80_4,cp19v80_5,cp19v80_6,cp19v80_7,cp19v80_8,cp19v80_9,cp19v80_10,cp19v80_11,cp19v80_12,cp19v80_13,cp19v80_14,cp19v81,cp19v82,cp19v83,cp19v84,cp19v30_x,cp19v31_g_x,cp19v31_gd_x,cp19v32_x,cp19v32_1_x,cp19v32_2_x,cp19v33v34_u_x,cp19v33v34_ud_x,cp19v35_x,cp19v36_x,cp19v69_x,cp19v71_x,cp19v72_x,cp19v73_x,cp19v74_x,cp19v75_x,cp19v76_x,cp19v76_k_x,cp19v77_x,cp19v78_x,cp19v78_k_x
16183,1,1,1,10903,2,1,1,3,1,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,99,99,3,1,999,99,999,99,999,99,999,99,107,3,108,12,16,3,17,12,4,99,8,99,99,8,99,99,99,99,3,997,997,997,4,1,1,2,2,99,1,99,2,5,26,7,24,2,9999,16,45,19, ,2,2,12,2,1,2,26,9,21,2,9999,50,10, ,2,999,999,0,0,0,1,0,1,1,1,1,1,0,0,0,0,2,1,180,70,7,1,5,1,9,9,3,5,99,99,12,1,2,26,9,21,2,9999,50,10, 
05433,2,1,1,10904,2,1,2,9,1,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,99,99,1,99,999,99,999,99,999,99,107,10,999,99,999,99,16,10,95,95,1,6,99,99,99,6,99,99,99,99,2,2,1,1,4,1,1,2,2,99,1,99,2,8,69,5,33,1,2,14,40,7, ,2,2,99,3,99,99,999,99,9999,99,9999,999,99, ,2,999,999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,162,49,5,99,99,1,6,4,3,3,99,99,9,1,2,69,3,43,2,9999,40,96, 
16661,2,1,1,10902,2,2,1,24,1,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,1,12,99,99,999,99,999,99,999,99,999,99,999,99,999,99,99,99,99,99,99,99,99,8,99,8,1,3,12,99,99,999,999,999,3,3,2,99,2,1,99,1,2,4,64,9,33,1,5,9,997,7, ,99,1,99,99,99,99,999,99,9999,99,9999,999,99, ,99,999,999,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,165,997,6,99,99,1,6,4,6,3,99,99,99,99,99,999,99,9999,99,9999,999,99, 
12413,1,8,8, ,8,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,996,96,996,96,996,96,996,96,996,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,996,996,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,9999,96,996,96, ,96,96,96,96,96,96,996,96,9996,96,9999,996,96, ,96,999,999,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,996,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,9999,996,96, 
16380,2,1,1,10904,2,8,2,24,2,99,99,99,97,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,1,1,11,99,99,999,99,999,99,999,99,999,99,999,99,999,99,99,99,99,99,99,99,99,7,99,7,1,2,13,99,99,999,999,999,1,2,1,99,2,99,1,99,2,97,79,97,23,2,9999,13,997,97, ,99,1,99,99,99,99,999,99,9999,99,9999,999,97, ,99,999,999,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,157,997,97,99,99,99,99,99,99,99,99,99,99,99,99,999,99,9999,99,9999,999,97, 
11840,2,1,1,10903,1,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,996,96,996,96,996,96,996,96,996,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,996,996,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,9999,96,996,96, ,96,96,96,96,96,96,996,96,9996,96,9999,996,96, ,96,999,999,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,996,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,9999,996,96, 
13996,2,1,1,10902,0,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,996,96,996,96,996,96,996,96,996,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,996,996,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,9999,96,996,96, ,96,96,96,96,96,96,996,96,9996,96,9999,996,96, ,96,999,999,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,996,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,9999,996,96, 
18772,1,1,1,10904,0,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,996,96,996,96,996,96,996,96,996,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,996,996,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,9999,96,996,96, ,96,96,96,96,96,96,996,96,9996,96,9999,996,96, ,96,999,999,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,996,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,9999,996,96, 
11321,2,1,1,10903,1,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,996,96,996,96,996,96,996,96,996,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,996,996,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,9999,96,996,96, ,96,96,96,96,96,96,996,96,9996,96,9999,996,96, ,96,999,999,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,996,996,96,96,96,96,96,96,96,96,96,96,96,96,96,996,96,9996,96,9999,996,96, 
17671,1,1,1,10903,2,1,1,4,1,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2,99,99,2,99,999,99,999,99,999,99,105,7,999,99,999,99,14,7,95,95,1,6,99,99,99,6,99,99,99,99,3,2,0,2,3,1,1,2,2,99,2,99,99,2,51,3,52,2,9999,12,50,7, ,5,2,99,2,99,99,999,99,9999,99,9999,999,99, ,1,51,999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,167,64,6,99,99,1,6,4,6,3,99,99,11,1,2,66,97,33,2,9999,997,96, 
